sku,name,brand,category
1705045-KG,Salmón Filete No Tratado Fresco kg,Pescadería Jumbo,pescaderia
1855230,Salmón No Tratado Congelado 400 g,Cuisine & Co,pescaderia
1997972,Nugget de Salmón Cuisine & Co 400 g,Cuisine & Co,pescaderia
1844674,Lasaña de Jaiba Camarón 900 g,Bocatti,pescaderia
1983972,Croqueta de Cangrejo Apanado Cajun 482 g,Panamei,pescaderia
270507,Caviar Rojo 100 g,South Wind,pescaderia
1876544,Pack de Paté Foie y Paté de Campo Henaff 234 g,Henaff,pescaderia
1668552,Surtido de Mariscos 500 g,Mar Verde,pescaderia
1855561,Ulte Fresco 400 g,Pescadería Jumbo,pescaderia
270508,Caviar Rojo Frasco 50 g,South Wind,pescaderia
1983971,Croqueta de Cangrejo Apanado 482 g,Panamei,pescaderia
2002596,Lomo de Salmón Cuisine & Co 100 g,Cuisine & Co,pescaderia
1997973,Varita de Salmón Cuisine & Co 400 g,Cuisine & Co,pescaderia
2005806,Pulpo Congelado 100 g,Aqua Austral,pescaderia
514013,Choritos Al Natural San José 100 g drenado 190 g neto,San José,pescaderia
1983973,Croqueta de Cangrejo De Río 426 g,Panamei,pescaderia
1984239,Tártaro Salmón Mango Congelado 150 g,Aqua Austral,pescaderia
2005803,Slice de Loco Congelado 100 g,Aqua Austral,pescaderia
1988875,Camarón Cocido con Cola Panameño 21/25 454g,Panamei,pescaderia
1856591,Mariscos Surtidos Congelados 1 kg,Cuisine & Co,pescaderia
1843962,Anillos de Calamar Apanados 400 g,Cuisine & Co,pescaderia
1861051,Ostiones Parmesanos Congelado 8 un.,Cuisine & Co,pescaderia
1604622,Caviar Rojo de Salmón Ikurasur 100 g,Aqua Austral,pescaderia
2022101,Lomo de Salmón Empanizado La Crianza 100 g,La Crianza,pescaderia
2002685,Merluza Apan Coct El Golfo 400 g,El Golfo,pescaderia
1829854-KG,Salmón Filete Congelado kg,Cuisine & Co,pescaderia
1696583,Choritos Con Concha Congelados 454 g,San José,pescaderia
1076506,Almeja Juliana Congelada 500 g,South Wind,pescaderia
1857001,Centolla Congelada 250 g,Congelados Premium,pescaderia
1700568,Machas A La Parmesana Congeladas 12 un.,Chef Vittó,pescaderia
2022103,Hamburguesa de Salmón La Crianza 120 g,X-Mark,pescaderia
1993246,Loin Trucha Porciones Congelado 500 g,Caleta Bay,pescaderia
1956124,Camarón Cocido Con Cola Jumbo 454 g,Panamei,pescaderia
1550539,Erizos Al Natural Geomar 50 g drenado,Geomar,pescaderia
1856588,Pinzas de Jaiba Premium Congelado 500 g,Cuisine & Co,pescaderia
254382-KG,Cholgas Frescas kg,Pescadería Jumbo,pescaderia
1993219,Camarón Crudo con Cáscara Easy Peel Panam 16/20 454 g,Panamei,pescaderia
270506,Caviar Negro Frasco 50 g,South Wind,pescaderia
1855100,Trucha Al Vacío Congelada 400 g,Congelados Premium,pescaderia
1844677,Chupe de Jaiba 250 g,Bocatti,pescaderia
254595-KG,Reineta Entera Fresca 700 g,Pescadería Jumbo,pescaderia
1837581-KG,Camarón Entero 40/50 Champmar 500 g,Champmar,pescaderia
1842631,Salmón Pink Blue Congelado 500 g,Blue Snow,pescaderia
1881682,Salmón Filete Congelado 500 g,Aqua,pescaderia
1881683,Salmón En Porciones Congelado 500 g,Aqua,pescaderia
1876543,Paté Foie Henaff 130 g,Henaff,pescaderia
1984241,Tártaro Atún Congelado 150 g,Aqua Austral,pescaderia
1960847,Brocheta Salmón Fresca un.,Pescadería Jumbo,pescaderia
1859791,Caviar Rojo de Trucha Ikurasur 100 g,Aqua Austral,pescaderia
254410-KG,Congrio Colorado Entero Fresco kg,Pescadería Jumbo,pescaderia
1876546,Terrine de Bretonne Henaff 200 g,Henaff,pescaderia
254467-KG,Jurel Entero Fresco kg,Pescadería Jumbo,pescaderia
1875234,Terrine de Conejo Henaff Con Ciruelas 90 g,Henaff,pescaderia
1665978,Salmón Ahumado En Frío 150 g,South Wind,pescaderia
1875235,Terrine de Pato Henaff A La Miel 90 g,Henaff,pescaderia
1876545,Mousse de Pato Henaff 115 g,Henaff,pescaderia
469896-KG,Merluza Austral Entera Fresca kg,Pescadería Jumbo,pescaderia
254605-KG,Robalo Entero Fresco kg,Pescadería Jumbo,pescaderia
254568-KG,Pejerrey Entero Fresco kg,Pescadería Jumbo,pescaderia
254491-KG,Lisa Entera Fresca kg,Pescadería Jumbo,pescaderia
254611-KG,Salmón Entero Fresco kg,Pescadería Jumbo,pescaderia
254408-KG,Congrio Dorado Entero Fresco kg,Pescadería Jumbo,pescaderia
2026368-KG,Pinzas de Jaiba 1 kg,South Wind,pescaderia
254422-KG,Congrio Negro Entero Fresco kg,Pescadería Jumbo,pescaderia
2005805,Tártaro Loco Acevichado Congelado 150 g,Aqua Austral,pescaderia
1900161,Machas Al Agua Geomar 100 g drenado,Geomar,pescaderia
523648,Camarones Cocidos y Pelados Mar Verde 200 g,Mar Verde,pescaderia
1846212,Camarón Cocido Sin Cáscara L 400 g,Mar Verde,pescaderia
1785324,Merluza Tempura Romana 500 g,Cuisine & Co,pescaderia
1773225,Camarón Apanado Mariposa 500 g,Cuisine & Co,pescaderia
1773222,Camarón Cocido Sin Cáscara M 500 g,Cuisine & Co,pescaderia
1828095-KG,Congrio Dorado Filete Fresco kg,Pescadería Jumbo,pescaderia
288027,Reineta Filete Congelada 500 g,El Golfo,pescaderia
1894855,Salmón Atlántico Bites & Pieces 350 g,Aqua,pescaderia
1883832,Rollitos de Salmón Apanados 400 g,La Crianza,pescaderia
1773232,Tilapia Sin Piel Congelada 500 g,Cuisine & Co,pescaderia
1883831,Nuggets de Salmón Apanados 400 g,La Crianza,pescaderia
1952535,Locos Cocidos En Conserva 1 kg,Alimex,pescaderia
288010,Merluza Filete Congelada 500 g,El Golfo,pescaderia
1785289,Salmón Filete Congelado 500 g,Cuisine & Co,pescaderia
1752545,Nuggets de Merluza Apanadas 400 g,El Golfo,pescaderia
1979066,Merluza Varita Apanadas 500 g,El Golfo,pescaderia
1752543,Merluza Tempura 500 g,El Golfo,pescaderia
471494,Salmón Ahumado En Frío Al Vacío 400 g,South Wind,pescaderia
1387552,Salmón Ahumado En Caliente 200 g,South Wind,pescaderia
1855313,Mariscos Surtidos Congelados 500 g,Cuisine & Co,pescaderia
1857549,Bandeja Ostras Semi Export 20 un.,Pescadería Jumbo,pescaderia
439750,Merluza Filete Apanadas 500 g,El Golfo,pescaderia
1730508,Trucha Filete Congelada 500 g,Entre Ríos,pescaderia
1648878,Carpaccio de Salmón 200 g,Cuisine & Co,pescaderia
254451-KG,Salmón Filete Fresco kg,Pescadería Jumbo,pescaderia
1716103,Atún Congelado 500 g,Cuisine & Co,pescaderia
1773231,Reineta Congelada 500 g,Cuisine & Co,pescaderia
1842889,Camarón Cocido Sin Cáscara XL 500 g,Cuisine & Co,pescaderia
436869-KG,Reineta Filete Fresca kg,Pescadería Jumbo,pescaderia
